iter	Passed	Remaining
1355	452781	1216765
1356	453109	1216417
1357	453434	1216058
1358	453777	1215749
1359	454120	1215441
1360	454432	1215046
1361	454744	1214654
1362	455055	1214261
1363	455358	1213843
1364	455686	1213495
1365	455995	1213095
1366	456325	1212750
1367	456658	1212414
1368	456973	1212031
1369	457299	1211675
1370	457616	1211298
1371	457937	1210929
1372	458276	1210609
1373	458600	1210251
1374	458938	1209927
1375	459253	1209545
1376	459596	1209237
1377	459945	1208943
1378	460282	1208615
1379	460635	1208332
1380	460980	1208028
1381	461325	1207723
1382	461654	1207379
1383	461961	1206974
1384	462281	1206603
1385	462622	1206290
1386	462956	1205956
1387	463277	1205590
1388	463600	1205227
1389	463921	1204862
1390	464260	1204539
1391	464606	1204238
1392	464931	1203881
1393	465320	1203691
1394	465654	1203357
1395	465971	1202981
1396	466290	1202608
1397	466610	1202240
1398	466958	1201941
1399	467304	1201639
1400	467655	1201351
1401	467973	1200975
1402	468295	1200611
1403	468621	1200258
1404	468937	1199879
1405	469265	1199530
1406	469586	1199163
1407	469896	1198770
1408	470235	1198449
1409	470541	1198045
1410	470862	1197679
1411	471198	1197350
1412	471519	1196985
1413	471843	1196626
1414	472237	1196445
1415	472666	1196352
1416	472981	1195971
1417	473293	1195583
1418	473647	1195301
1419	473967	1194931
1420	474289	1194567
1421	474605	1194189
1422	474933	1193843
1423	475259	1193489
1424	475581	1193126
1425	475888	1192724
1426	476242	1192441
1427	476585	1192131
1428	476908	1191769
1429	477328	1191651
1430	477666	1191329
1431	478011	1191022
1432	478423	1190884
1433	478777	1190601
1434	479089	1190212
1435	479405	1189833
1436	479736	1189492
1437	480054	1189119
1438	480392	1188797
1439	480787	1188614
1440	481106	1188242
1441	481423	1187867
1442	481773	1187574
1443	482104	1187233
1444	482433	1186887
1445	482835	1186720
1446	483179	1186410
1447	483509	1186066
1448	483852	1185755
1449	484162	1185363
1450	484491	1185017
1451	484822	1184676
1452	485141	1184306
1453	485461	1183937
1454	485781	1183571
1455	486125	1183261
1456	486453	1182914
1457	486773	1182545
1458	487120	1182244
1459	487462	1181930
1460	487785	1181570
1461	488210	1181455
1462	488532	1181092
1463	488865	1180757
1464	489205	1180437
1465	489522	1180062
1466	489853	1179723
1467	490174	1179357
1468	490495	1178991
1469	490846	1178698
1470	491174	1178350
1471	491586	1178204
1472	491929	1177893
1473	492253	1177534
1474	492574	1177169
1475	492900	1176817
1476	493248	1176517
